"post_id","url","keyword","publish_time","author_name","author_type","text","repost_count","comment_count","like_count","topic_tag","crawl_time"
"5192245323497937","https://weibo.com/2378564111/PCHIMeFYl?refer_flag=1001030103_","张碧晨 年轮","2025年07月25日 10:40","娱乐扒皮","媒体","#张碧晨告别年轮# 张碧晨值此《年轮》发行十周年之际，好好和这首作品告个别。 ​​​","2454","7527","382303","张碧晨告别年轮","2026-05-29 16:18:12"
"5192118454714744","https://weibo.com/5661606921/PCEq9jMwg?refer_flag=1001030103_","张碧晨 年轮","2025年07月25日 02:16","张碧晨Studio","官方/工作室"," 张碧晨超话 近日，网络上关于歌曲《年轮》的相关言论引发了不必要的争议与误解。为正视听，也为维护张碧晨女士作为该作品唯一原唱的合法权益，我们郑重说明如下： ​","22415","62736","638101","","2026-05-29 16:18:12"
"5194218987063944","https://weibo.com/6275217849/PDx46tDEA?refer_flag=1001030103_","张碧晨 年轮","2025年07月30日 21:22","君君的旅行日记","普通用户","我对汪苏泷和张碧晨都不喜欢也不讨厌，就事论事，这事汪苏泷做的就是过分。 如果说张碧晨有错，唯一的问题在于她对于《年轮》唯一原唱的定义，是否让你认同。 “原唱”没有什么法律定义，是行业约定成俗的概念。在我看来，原唱是第一个发行歌曲的人。所以张碧晨是原唱，还是唯一的，我觉得没什么错。 当然，如果你觉得随后立刻发行《年轮》的汪苏泷也是原唱，那是我们的观念不一样，没有对错。 但这不是重点，重点是现在一群人在颠倒黑白，模糊时间线。 真正的时间线是： 旺仔小乔在2021年的一段发言被挖出来，她说《年轮》的原唱是张碧晨。但旺仔小乔也没说对汪苏泷任何不敬的话。 时隔四年，这段发言被有心挖出。两方骂战，我觉得极端的粉丝哪一家都有，很难界定谁对谁错。 随后，张碧晨在qq音乐的《年轮》原唱标识被取消。这时，张碧晨什么话也没说。 汪苏泷率先发声，说要拿回《年轮》的版权，取消所有其他歌手演唱的资格。 直到这时候张碧晨才发声，第一次说自己是唯一原唱。 接下来，粉丝就开始在颠倒黑白，模糊时间线。造成一种假象：汪苏泷说《年轮》是双原唱，张碧晨反驳说自己是唯一原唱，所以汪苏泷收回版权，不让张碧晨唱了，大快人心。 大多数人没那么较真，看到就以为是真的。这几天张碧晨也上了一堆热搜，还被荡妇羞辱，什么偷男明星内裤，偷生孩子。还造谣什么张碧晨偷偷授权给旺仔小乔，来收钱，汪苏泷十年不收钱，免费让张碧晨唱《年轮》，这些弱智谣言被大肆散布，路人被洗脑。 况且张碧晨下个月就要开演唱会，歌单就有《年轮》这首歌，这时候毫无预测的收回演唱权，是不是太过分了点？ 在粉丝的不懈努力下，大家都觉得手握版权就可以为所欲为。殊不知，音乐圈是互相尊重的，演唱者的贡献也很大。 周杰伦给多少人写过歌了？他收回倒带、夏天的风、世界末日的版权了吗？这其中有些人和他关系后来还恶化了，也没见他小气吧啦不让对方唱歌了吧？还有林俊杰、陶喆、王力宏、五月天，谁会干这种事？ 这波操作就是破坏了创作者和歌手之间的相互信任，有法可依，但做得很不厚道，破坏行业环境。 收起 d","1476","5461","72559","","2026-05-29 16:18:12"
"5192371266390237","https://weibo.com/1642591402/PCKZUqOol?refer_flag=1001030103_","张碧晨 年轮","2025年07月25日 19:00","新浪娱乐","媒体","#张碧晨方称享有年轮永久演唱权利# #张碧晨不再演唱年轮# ​​​25日， @张碧晨 工作室就《年轮》歌曲引发的舆论争议作出回应，表示经查阅正式合约，张碧晨依法享有该歌曲在全球范围内的永久演唱的权利，但出于尊重与自我选择，张碧晨今后将不再演唱该歌曲。 ​​​","3050","27536","437676","张碧晨方称享有年轮永久演唱权利;张碧晨不再演唱年轮","2026-05-29 16:18:12"
"5192232709657176","https://weibo.com/5660519061/PCHoqEwgU?refer_flag=1001030103_","张碧晨 年轮","2025年07月25日 09:50","互联网猫猫头","普通用户","#李思睿 年轮回家# 可以说没有汪苏泷就没有《年轮》这首歌，双原唱对张碧晨也没啥影响，为啥这么坚持唯一原唱呢，就像白浅所说“我的眼睛放在你那儿放了三百年，怎么就变成了你的东西”，旺仔小乔还是太有实力了点，一句话直接让两位歌手难办，张碧晨告别年轮了 ​","213","3274","74537","李思睿 年轮回家","2026-05-29 16:18:12"
"5193051066600340","https://weibo.com/5663510996/PD2GmrH36?refer_flag=1001030103_","张碧晨 年轮","2025年07月27日 16:01","无视方无终","普通用户","#张碧晨年轮海外版权受限# 如果不是张碧晨这歌谁知道啊！ 不挑事也不怕事！她不唱我们就不听了！ 感觉张碧晨唱的年轮更好听，汪苏泷为什么要收回演唱权，双原唱不好吗 本来还挺喜欢汪苏泷的，因为这件事对他路好转路人了，不会再听他的歌了 ​","127","7386","62100","张碧晨年轮海外版权受限","2026-05-29 16:18:12"
"5192687763849788","https://weibo.com/2318910945/PCTeog9vm?refer_flag=1001030103_","张碧晨 年轮","2025年07月26日 15:58","新浪热点","媒体","【 #张碧晨方说无需多言# 】7月26日， @张碧晨Studio 发文纪念张碧晨出道11周年，“不必回头，也无需多言。继续唱吧，唱给明天、唱给热爱、唱给心里最清澈的那部分自己。”疑似再回应《年轮》原唱风波。 ​ ​​​","1070","10653","310883","张碧晨方说无需多言","2026-05-29 16:18:12"
"5192180966884693","https://weibo.com/6004281123/PCG2YsT1r?refer_flag=1001030103_","张碧晨 年轮","2025年07月25日 06:24","梨视频","媒体","【 #张碧晨方回应年轮原唱# 】7月25日凌晨， @张碧晨Studio 发文：“近日，网络上关于歌曲《年轮》的相关言论引发了不必要的争议与误解。为正视听，也为维护张碧晨女士作为该作品唯一原唱的合法权益我们郑重说明。” “一场源于某博主的舆论争议，意外将一首陪伴听众十年的好作品推向风口浪尖，我们倍感遗憾。感谢十年前与《年轮》的相遇，也感谢过去十年《年轮》带来的共鸣、泪水与力量，值此《年轮》发行十周年之际，好好和这首作品告个别。” #多方已注册年轮商标# #年轮商标已被申请注册# 收起 d","978","11211","266053","张碧晨方回应年轮原唱;多方已注册年轮商标;年轮商标已被申请注册","2026-05-29 16:18:12"
"5192314130530481","https://weibo.com/2318910945/PCJvL2e09?refer_flag=1001030103_","张碧晨 年轮","2025年07月25日 15:13","新浪热点","媒体","【 #花千骨制片人回应年轮争议# 】对于近期《年轮》原唱争议，有网友认为是《花千骨》剧方请汪苏泷写了《年轮》作为插曲，并邀请汪苏泷和张碧晨分别演唱了男女版本。 #张碧晨方称享有年轮永久演唱权利# 对此，，她称该剧的OST除了《是夜》《不可说》《疤痕》之外，都是与海蝶音乐合作的。剧方是从海蝶提供的众多歌曲里盲选的《年轮》，当时海蝶提供的是张碧晨演唱的版本。因为当时很多歌手和创作者都和海蝶音乐有签约，所以剧方对于海蝶音乐和汪苏泷、张碧晨之间的合作细节并不知情。（腾讯娱乐） 收起 d","602","8456","67134","花千骨制片人回应年轮争议;张碧晨方称享有年轮永久演唱权利","2026-05-29 16:18:12"
"5192387968108888","https://weibo.com/1700720163/PCLqQy1uw?refer_flag=1001030103_","张碧晨 年轮","2025年07月25日 20:07","钱江晚报","媒体","#年轮纠纷撕裂了谁的体面# 旺仔小乔的一句“我认定的事不会改”，成功让《年轮》从KTV金曲沦为“法考真题”。这位网红的惊天一锤，砸出了音乐圈十年难遇的割席场景：两个原唱在热搜上互相递交“出生证明”，一夜之间，音乐版权也再度被拽回到公众视野中。 7月25日凌晨的互联网，注定不平静。0点刚过5分钟，汪苏泷工作室发文，宣布收回歌曲《年轮》所有商业演唱授权。15分钟后，张碧晨工作室的声明也来了，坚称张碧晨是“无可争议的唯一原唱”。 当旺仔小乔在直播间斩钉截铁宣称“《年轮》原唱只有张碧晨”时，她可能未曾想到，这句话会如同多米诺骨牌一般，推倒两位好友甚至整个行业的体面。 随后，音乐平台的标签操作让局势愈发无法挽回： QQ音乐在7月23日移除了张碧晨版《年轮》的“原唱”标识，仅标注为“演唱者”，而汪苏泷版本却仍保留“原唱”标签。 这一操作瞬间点燃舆论风暴。尽管平台在数小时后恢复标识，但裂痕已然产生。 汪苏泷方的终极态度在7月25日凌晨到来——收回《年轮》所有商业演唱授权，同时确认《梦幻诛仙》为双原唱模式。这一合法但凌厉的版权杀招，直接将张碧晨推入尴尬境地：她的录音版本仍可传播，但未来商演若唱《年轮》，将面临侵权风险。 张碧晨工作室则以国家级版权登记和十年前的首发记录为凭，强调其“无可争议的唯一原唱”地位。至此，十年合作伙伴，在版权战场上以一种特殊的方式相见了。 《年轮》版权之争，深植于2015年《花千骨》OST发行时的“双黄蛋”策略：张碧晨女声版（6月15日）与汪苏泷男声版（6月30日）先后落地。这本是行业心照不宣的“并行宇宙”（比如《知否知否》的胡夏与郁可唯版本）。但音乐平台的混乱标注，算是积了妥妥的“反向赛博功德”：网易云音乐勤恳标注“双原唱”，QQ音乐标签随心而动，此次更是上演了单方面“摘牌”的迷惑行为…… 法律定义的空白则让争议陷入死局。《著作权法》未对“原唱”作出明确定义，音著协人士坦言：“若合同未明确约定，创作人与首唱者均可能被认定为原唱”。 2015年那份尘封的合同细节，成了悬在空中的达摩克利斯之剑。汪苏泷昔日那句戏谑——“这首歌除了张碧晨，其他都是我的”，在今时今日看来，竟充满了“预见性”。 在规则模糊的荒原上，创作权与表演权这对本应共舞的伙伴，被迫上演了相互推高地的生死搏杀。 举个更形象的例子，如今的汪苏泷握着作品“不动产权证”，张碧晨只有十年租赁合同，而网红们举着手机在楼盘前拼命搞探房直播，网易云坚持“双胞胎业主”认证，QQ音乐连夜铲除张女士门牌号，酷狗音乐干脆挂出“产权争议中”的免责声明……十年树木年轮静好，十年金曲却陷入了“房产证加名”大战。 在内娱，很多事情都办得稀里糊涂的。汪苏泷行使版权收回权，无疑是法理框架内的“标准动作”。但这也不可避免地撕裂了音乐创作中微妙而珍贵的“共生肌理”。我们已经无数次见过类似的剧情，当版权之手轻轻一拨，表演者倾注心血、赋予歌曲灵魂乃至市场生命的巨大贡献，便有可能在法律天平上骤然“失重”。 《年轮》困局的背后，值得思索的，还有这些年来的OST产业。 2015年，张碧晨版《年轮》依托《花千骨》破圈，其传播逻辑本质是“剧带歌”。音乐作为剧集附属品，价值在于提升观众沉浸感，在国内制作预算常常不足总投资的1%，词曲作者与演唱者也大多是收取一次性劳务费，鲜少参与后续分成。这种“剧红歌红却难变现”的尴尬，恰如一些资深制作人所言：“把OST单拎出来赚钱？简直是天方夜谭！” 可想而知，作为电视剧的“过继儿子”，一首OST在诞生之初，本就带着未知的“命运”，一旦日后这个儿子发达了，此前模糊不清的版权规则，可能就成了埋着的雷。 一边是“创作与演唱权益割裂”的风险：汪苏泷作为词曲作者享有长期版税，而张碧晨虽以“剧用版”奠定大众认知（音乐平台1400万+的收藏量，远超汪苏泷的近500万+），其表演者权（邻接权）却难以从后续流媒体播放、翻唱授权中分羹； 另一边是“双版本”的风险：OST为适配剧情常衍生多版本（如男女声、角色曲），但行业缺乏对“并行首发”权益的约定模板。当《年轮》双版从“艺术互补”走向“版权互斥”，一旦收益分配规则缺席，再加上有旺仔小乔这样的“火星”，争议很容易就像老房子那样一点就着。 别墅里面唱K，旺仔小乔就是那条没头没脑的“银龙鱼”。除了混淆“原唱”与“版权”的基本概念，她一面在直播间笃定地“指认”原唱，一面竟然还接受粉丝花抖币点唱《年轮》。版权方在流量变现的狂欢中，好像又被遗忘在了角落。 但局面已经无法挽回——旺仔小乔自身掉粉60万的代价，与这场闹剧对行业生态造成的震荡相比，不过是茶杯里的风暴。 目前来看，“年轮大战”的硝烟里，是“三输”的局面——汪苏泷背负“断人财路”的指摘；张碧晨痛失以代表作进行商业演唱的自由；而那些曾在旋律中寄存青春记忆的听众，则被迫见证了喜欢的歌曲沦为规则漏洞与利益博弈的祭品。 回望汪苏泷与张碧晨曾在聚光灯下携手演绎《年轮》的画面，恍如隔世。版权江湖也再一次用规则提醒所有人，在流量与创作的天平上，情感共鸣永远是最脆弱的砝码。（潮新闻 记者 陈宇浩） L 钱江晚报的微博视频 收起 d","1716","9847","208367","年轮纠纷撕裂了谁的体面","2026-05-29 16:18:12"
