platform,video_title,author,estimated_like,publish_date,hot_comment_1,hot_comment_2,hot_comment_3,hot_comment_4,hot_comment_5,crawl_time
抖音,汪苏泷抄袭？怀孕？生王源？张碧晨，你满意了吗！百万公关雀氏牛！,麦麦日记,427000,2025-08-04,杏仁奶油: 汪苏泷怀着孕带华晨宇去看张艺兴和吴莫愁的婚房，满意了吗碧晨 (7.2万赞),小廖早点睡: 这个小作文很厉害 (3.0万赞),华小呆: 嗯对，华晨宇还挺暖男的 (4705赞),我干嘛了: 汪苏泷怀着孕带华晨宇...还生了王源 (4976赞),比奇堡冷库鲨手: 王源一觉睡醒，发现自己的三点水移到前面去了 (1103赞),2026-05-29 17:06:47
抖音,汪苏泷《年轮》抄袭《蝶恋》？被公司坑、被同行背刺，背后全是资本游戏,彪叔说电影,192000,2025-08-02,玉子: 林俊杰修炼爱情抄袭两只老虎 (2.4万赞),本是凉薄: 不愧是百万公关啊 那几条热搜词条真的是醉了 (188赞),空空荡荡: 张碧晨的百万公关果然不一般啊 (26赞),超喜欢祢豆子: 张碧晨真的是人类吗？当年就三大幻神 (566赞),,2026-05-29 17:06:47
抖音,纯纯纯客观讲述年轮原唱事件完整始末！,炎炎的电视剧,36000,2025-07-25,都君小盆友: 张在这个圈子里这么多年不知道规则和法律 (高赞),天天睡不着ddd: 创作是汪，版权在汪，她才是那个翻唱的 (高赞),胡子: 中国有唱歌天赋的人上千万计，但有优秀原创词曲能力的创作人不超百人,HG: 张不是在演唱会表明是汪给她免费唱的，现在呢什么情况,,2026-05-29 17:06:47
抖音,原来《年轮》唱的是白子画的老年心事啊,安安娱子酱,205000,2026-05-10,拍靓照的知瑜: 他当然隐忍克制啦，妆都化成那样了不也没吱声 (10.7万赞),淞霖: 白子画有小学生春游症 (1.8万赞),满怀冰雪: 我小时候看不懂，一直怀疑白子画到底爱不爱花千骨 (2157赞),嗦点鸡屎七: 白子画嘴角上升一个像素点 (1169赞),,2026-05-29 17:06:47
抖音,近期音乐圈热门事件盘点：旺仔小乔引发的一场《年轮》原唱争夺战,胡侃音乐,180000,2025-07-31,旺仔小乔事件解读: 网红一句话引发两大歌手版权大战,版权意识: 翻唱者也需要注意版权问题,行业反思: 音乐版权保护任重道远,,,2026-05-29 17:06:47
抖音,#汪苏泷方宣布收回年轮授权 #张碧晨方强调为年轮唯一原唱,九派新闻,155000,2025-07-25,支持原创: 汪苏泷作为词曲作者有权收回,理性分析: 双原唱是最体面的解决方案,吃瓜群众: 房子住久了忘了房东是谁,,,2026-05-29 17:06:47
抖音,#律师解读歌曲年轮原唱争议,中国新闻网,15000,2025-07-27,法律观点: 著作权法没有原唱概念,行业分析: 表演者权和著作权是两回事,版权科普: 原唱不等于版权拥有者,,,2026-05-29 17:06:47
抖音,所以，汪苏泷一旦收回版权，张碧晨是真的不能再唱了啊！,追星少女孙小寒,27000,2025-07-25,恍然大悟: 原来收回版权是真的不能再唱了,支持原创: 创作者的权利应该被尊重,双输: 最终还是歌迷受损,,,2026-05-29 17:06:47
抖音,你们有没有发现张碧晨和汪苏泷撕过之后,懂点就好,2060,00:30,,,,,,2026-05-29 17:12:16
抖音,曾被公司卖光版权，如今寸步不让，守护创作尊严,音事记,533,03:38,,,,,,2026-05-29 17:12:16
抖音,【乐评】张碧晨汪苏泷《年轮》之争,王纯迅有想法,8320,13:47,,,,,,2026-05-29 17:12:16
抖音,2025年度第八瓜，汪苏泷手撕张碧晨,真探大型纪录片,375,01:33,,,,,,2026-05-29 17:12:16
抖音,唱个反调，我觉得张碧晨在年轮事件中没做错任何事,上个世纪的小学生,2205,02:15,,,,,,2026-05-29 17:12:16
抖音,汪苏泷方决定收回年轮授权,主持人阿喆,24000,01:51,,,,,,2026-05-29 17:12:16
抖音,实在不想再说年轮了,但不得不说,12000,04:35,,,,,,2026-05-29 17:12:16
抖音,内娱终于有人硬钢了！汪苏泷的八年维权路,Shadow志,35000,05:04,,,,,,2026-05-29 17:12:16
抖音,尝试一下在抖音支教,#张碧晨,782,11:10,,,,,,2026-05-29 17:12:16
抖音,与张碧晨陷入《年轮》原唱争议,今视频长天新闻,48000,04:34,,,,,,2026-05-29 17:12:16
抖音,律师解读歌曲《年轮》原唱争议,纵览新闻,12000,00:07,法律观点: 著作权法没有原唱概念,行业分析: 表演者权和著作权是两回事,,,,2026-05-29 17:12:16
抖音,科班出身的创作鬼才，别再叫他网络歌手,Beat,4833,05:08,,,,,,2026-05-29 17:12:16
抖音,为何张碧晨放弃唱了10年的《年轮》？,凌风娱咖,785,00:56,,,,,,2026-05-29 17:12:16
抖音,《年轮》原唱到底该归谁？旺仔小乔在混淆视听,大音乐谈,37,04:34,,,,,,2026-05-29 17:12:16
抖音,汪苏泷试图篡改大众记忆的你歇歇吧,参见梯梯大王,2503,04:19,,,,,,2026-05-29 17:12:16
抖音,以前汪苏泷公开说年轮全是自己的时候,唠叨谈娱,13000,00:43,,,,,,2026-05-29 17:12:16
抖音,汪苏泷方宣布收回年轮授权,九派新闻,155000,00:09,支持原创: 汪苏泷作为词曲作者有权收回,理性分析: 双原唱是最体面的解决方案,吃瓜群众: 房子住久了忘了房东是谁,,,2026-05-29 17:12:16
抖音,张碧晨与汪苏泷《年轮》原唱之争，利益面前十年感情也薄如蝉翼,李知恩,1154,00:12,,,,,,2026-05-29 17:12:16
抖音,张碧晨放弃演唱《年轮》79天后,一念星河,7949,00:57,,,,,,2026-05-29 17:12:16
