platform,song_version,comment_user,comment_text,comment_likes,comment_time,crawl_time
QQ音乐,张碧晨版,Wanda.,杜鹃粉看着歌还是这么火急坏了没自己主场了就知道贴脸😂你就哥哥那里是没有你的容身之所了？让你出来冲锋陷阵😂 | 张杜鹃继续偷偷摸摸一辈子吧,0,2026-05-29,2026-05-29 17:59:37
QQ音乐,张碧晨版,和泉纱雾,咋给三角洲主播放上来了😂😂,0,2026-05-29,2026-05-29 17:59:37
QQ音乐,张碧晨版,:D 嘻:-P,🍬糖 | 你们粉丝人品不行哦,0,2026-05-27,2026-05-29 17:59:37
QQ音乐,张碧晨版,尘雨初晨,笑死我了，过来乞讨来了？,3,2026-05-27,2026-05-29 17:59:37
QQ音乐,张碧晨版,666,他们圈子需要喜欢吗，一个喜欢一个人钱罢了 | 不喜欢就可以发生关系了吗，涨见识了,0,2026-05-26,2026-05-29 17:59:37
QQ音乐,张碧晨版,666,该对女生有恶意别逗我了，自己做的事在那里，且明星已经脱离男女了，你别把自己代入，人家可看不上普通人，看不上你可怜她 | 发现这个社会女性永远对女性最为恶意,0,2026-05-26,2026-05-29 17:59:37
QQ音乐,张碧晨版,666,法律上不存在永久演唱权这一说法，其次这歌是写给花千骨的，张碧晨并没有版权且就连花千骨官方都没版权，法律不承认什么永久演唱权这一说法，只看重版权 | 人家张碧晨合同里面是全球永久演唱权，你汪苏泷作为创作人，卖了歌还想抢当原唱？收的回吗？能让张碧晨版从QQ音乐下架吗？有那个本事嘛,0,2026-05-26,2026-05-29 17:59:37
QQ音乐,张碧晨版,666,歌好电视剧火，换个女的来都行😅😅还有张碧晨把汪苏泷写的两首歌下了还真就没几首拿得出手了，少了梦幻诛仙和年轮还有啥 | 没有张碧晨这首歌能火吗？张碧晨缺这一首歌？也就你家汪苏泷想找一首大火的歌想得这么疯吧。,0,2026-05-26,2026-05-29 17:59:37
QQ音乐,张碧晨版,666,法律上不存在永久演唱权这一说法哦，人说啥你信啥😅😅😅 | 你搞清楚，不是我们不能唱了，是我们不稀罕唱了， 张碧晨女士依法享有《年轮》该歌曲在全球范围内的永久演唱权，谁让汪苏泷当年把这首歌给蓝蝶音乐呢 ，现在硬要收回版权，赔违约金就是了👍👍,0,2026-05-26,2026-05-29 17:59:37
QQ音乐,张碧晨版,666,汪苏泷最火的歌又不是这个😅😅而且是花千骨热度好吧，你家姐姐那会都算不上大咖，没张这首歌还有李某还有黄某，适合女声，歌好电视火换个优秀的女歌手一样火 | 这两天汪粉真的是让我大开眼界，好大一张脸。没有张碧晨你汪的年轮连400w都没有，花千骨制作方海选选的是张的版本哦～  没有张  汪连花千骨的锅底都沾不上哦  唱一次歌上一次热搜难听～汪粉慢慢享受啦  丝竹之乱耳,0,2026-05-26,2026-05-29 17:59:37
